x,y,z,description
0.5,0.0,1.25,MPC generated waypoint 1/100
0.49741209140004655,0.002510523666147557,1.25,MPC generated waypoint 2/100
0.49503990689857197,0.005225802784574192,1.25,MPC generated waypoint 3/100
0.49288176704621495,0.0081141297012629,1.25,MPC generated waypoint 4/100
0.49093221351450456,0.011147154763308308,1.25,MPC generated waypoint 5/100
0.48918333617420484,0.014300157784015097,1.25,MPC generated waypoint 6/100
0.4876258117752869,0.01755194463846534,1.25,MPC generated waypoint 7/100
0.4862496612386561,0.020884542679113317,1.25,MPC generated waypoint 8/100
0.48504477083206127,0.024282812696062486,1.25,MPC generated waypoint 9/100
0.4840012317464198,0.027734048152640113,1.25,MPC generated waypoint 10/100
0.4831095478026803,0.03122759931792697,1.25,MPC generated waypoint 11/100
0.48236075135396994,0.03475453905066962,1.25,MPC generated waypoint 12/100
0.4817464574668306,0.03830737496303924,1.25,MPC generated waypoint 13/100
0.48125887797847616,0.04187980638191015,1.25,MPC generated waypoint 14/100
0.4808908104556296,0.045466521633867794,1.25,MPC generated waypoint 15/100
0.48063561225949114,0.04906303020200546,1.25,MPC generated waypoint 16/100
0.48048716650352263,0.05266552431824423,1.25,MPC generated waypoint 17/100
0.4804398443236237,0.056270765032994025,1.25,MPC generated waypoint 18/100
0.48048846626902353,0.05987598845275951,1.25,MPC generated waypoint 19/100
0.4806282645409696,0.06347882850515718,1.25,MPC generated waypoint 20/100
0.48085484709037585,0.06707725320887192,1.25,MPC generated waypoint 21/100
0.4811641641184246,0.07066951196572102,1.25,MPC generated waypoint 22/100
0.4815524772247122,0.07425409184786694,1.25,MPC generated waypoint 23/100
0.48201633126032944,0.077829681230562,1.25,MPC generated waypoint 24/100
0.48255252883046273,0.08139513942913665,1.25,MPC generated waypoint 25/100
0.483158107327118,0.08494947124881651,1.25,MPC generated waypoint 26/100
0.48383031834017,0.08849180555742314,1.25,MPC generated waypoint 27/100
0.4845666092825518,0.09202137715298067,1.25,MPC generated waypoint 28/100
0.4853646070652541,0.09553751132829341,1.25,MPC generated waypoint 29/100
0.4862221036646901,0.09903961063898631,1.25,MPC generated waypoint 30/100
0.4871359583357936,0.10252742795646472,1.25,MPC generated waypoint 31/100
0.48809849142227824,0.10600212651280344,1.25,MPC generated waypoint 32/100
0.4891088215426321,0.10946322937864054,1.25,MPC generated waypoint 33/100
0.49016616415208814,0.11291026094307807,1.25,MPC generated waypoint 34/100
0.4912698219158847,0.11634274394236759,1.25,MPC generated waypoint 35/100
0.4924191761385604,0.11976019692241245,1.25,MPC generated waypoint 36/100
0.49361367909929454,0.12316213205947744,1.25,MPC generated waypoint 37/100
0.49485284716401184,0.12654805327937976,1.25,MPC generated waypoint 38/100
0.496136254561448,0.12991745462861173,1.25,MPC generated waypoint 39/100
0.4974635277233783,0.13326981886204753,1.25,MPC generated waypoint 40/100
0.4988343400993934,0.13660461622167283,1.25,MPC generated waypoint 41/100
0.5002484073645277,0.1399213033895673,1.25,MPC generated waypoint 42/100
0.5017054829442282,0.14321932260646708,1.25,MPC generated waypoint 43/100
0.5032053537860938,0.14649810095483426,1.25,MPC generated waypoint 44/100
0.5047478363120084,0.14975704981255636,1.25,MPC generated waypoint 45/100
0.5063327724882524,0.1529955644901876,1.25,MPC generated waypoint 46/100
0.5079600259554095,0.15621302407091667,1.25,MPC generated waypoint 47/100
0.5096294781649278,0.1594087914779935,1.25,MPC generated waypoint 48/100
0.5113410244755401,0.16258221379886878,1.25,MPC generated waypoint 49/100
0.5130945701708673,0.16573262289839844,1.25,MPC generated waypoint 50/100
0.5148900263697722,0.16885933635469946,1.25,MPC generated waypoint 51/100
0.5167273058136137,0.17196165875013766,1.25,MPC generated waypoint 52/100
0.5186063185294605,0.1750388833460497,1.25,MPC generated waypoint 53/100
0.5205269673852699,0.17809029416281594,1.25,MPC generated waypoint 54/100
0.5224891435714206,0.18111516847665166,1.25,MPC generated waypoint 55/100
0.5244927220618673,0.18411277973107068,1.25,MPC generated waypoint 56/100
0.5265375571263187,0.18708240084481395,1.25,MPC generated waypoint 57/100
0.5286234779807734,0.19002330787988853,1.25,MPC generated waypoint 58/100
0.5307502846759254,0.19293478401433586,1.25,MPC generated waypoint 59/100
0.5329177443299372,0.19581612374582036,1.25,MPC generated waypoint 60/100
0.5351255878127003,0.19866663723563602,1.25,MPC generated waypoint 61/100
0.5373735069823123,0.20148565468980167,1.25,MPC generated waypoint 62/100
0.5396611525610483,0.2042725306658885,1.25,MPC generated waypoint 63/100
0.541988132718263,0.2070266481920535,1.25,MPC generated waypoint 64/100
0.5443540124027738,0.20974742258887855,1.25,MPC generated waypoint 65/100
0.5467583134391977,0.21243430489487022,1.25,MPC generated waypoint 66/100
0.5492005153736498,0.21508678481210966,1.25,MPC generated waypoint 67/100
0.5516800570264014,0.21770439310829715,1.25,MPC generated waypoint 68/100
0.554196338684567,0.22028670343371887,1.25,MPC generated waypoint 69/100
0.5567487248482546,0.22283333353473794,1.25,MPC generated waypoint 70/100
0.5593365474298937,0.2253439458676079,1.25,MPC generated waypoint 71/100
0.5619591092990375,0.22781824763629197,1.25,MPC generated waypoint 72/100
0.5646156880636236,0.23025599029448002,1.25,MPC generated waypoint 73/100
0.5673055399827789,0.232656968564481,1.25,MPC generated waypoint 74/100
0.5700279039147316,0.23502101903390912,1.25,MPC generated waypoint 75/100
0.572782005215056,0.2373480183952222,1.25,MPC generated waypoint 76/100
0.5755670595140763,0.2396378813936369,1.25,MPC generated waypoint 77/100
0.5783822763166774,0.2418905585463493,1.25,MPC generated waypoint 78/100
0.5812268623820483,0.24410603369102987,1.25,MPC generated waypoint 79/100
0.5841000248542855,0.2462843214149379,1.25,MPC generated waypoint 80/100
0.5870009741268041,0.24842546440835842,1.25,MPC generated waypoint 81/100
0.589928926433856,0.250529530777946,1.25,MPC generated waypoint 82/100
0.5928831061710153,0.25259661134738626,1.25,MPC generated waypoint 83/100
0.5958627479533085,0.25462681696485767,1.25,MPC generated waypoint 84/100
0.5988670984248595,0.2566202758292667,1.25,MPC generated waypoint 85/100
0.6018954178376934,0.25857713084020983,1.25,MPC generated waypoint 86/100
0.60494698141993,0.26049753697006045,1.25,MPC generated waypoint 87/100
0.6080210805552442,0.2623816586503828,1.25,MPC generated waypoint 88/100
0.6096124778385775,0.26322868561961055,1.25,MPC generated waypoint 89/100
